,Geography,Jan 2021,Jan 2022,%Growth
0,Canada,38058291,38567576,1.3381709651649885
1,Newfoundland and Labrador,525895,528977,0.586048545812377
2,Prince Edward Island,159240,164195,3.111655362974127
3,Nova Scotia,990025,1010460,2.064089290674478
4,New Brunswick,784950,798656,1.7460984776100388
5,Quebec,8550561,8613999,0.7419162321630124
6,Ontario,14772726,14999441,1.53468628606528
7,Manitoba,1383854,1400663,1.2146512565631924
8,Saskatchewan,1166348,1171031,0.40150966949829725
9,Alberta,4418338,4465537,1.0682523609556354
10,British Columbia,5180015,5286478,2.0552643187326676
11,Yukon,42157,43063,2.1491092819697797
12,Northwest Territories 5,44432,44791,0.8079762333453366
13,Nunavut 5,39750,40285,1.3459119496855345
